editorial_note,source_pdf_page,printed_page,note_latex
144,133,119,年代范围须区别：段首说19世纪初，后文原书第125页自身却把Schleicher与Darwin理论的联系放在1860年代。本段把不同时段的影响压缩在同一时期，宜把有关影响的年代分别交代。
145,133,119,原文如此。按本页所列1304与1816计算，相隔512年，应为约五百年而非六百年。
146,134,120,原文如此。分词修饰阳性复数mots，应作enregistrés。
147,134,120,原文如此。此处名词短语缺限定词，应为l’indianiste français。
148,135,121,原文此处作Kreb；下文及所引论文均作Krebs，应补末尾s。
149,137,123,原文句末多出孤立的études，语法关系不成立，疑为编辑残留；可删该词及其前逗号。正文仍保留。
150,137,123,原文如此。此处复合过去时缺助动词，应为il a ajouté。
151,137,123,原文如此。两名词之间漏连接词，按上下文应为déclinaisons et conjugaisons。
152,138,124,底本引文如此。主语Les origines为复数，动词应作se révèlent；这里只订语法，不声称已核定所引法译版本。
153,140,126,原文在同一列举中两次写espagnol，疑为重复排印。删除后一项即可消除重复；无证据确定作者原拟列举哪一种语言，故不擅补其他语名。
154,140,126,此处把“未有直接文字见证”和“并非真实祖语”混在一起。紧接的说明实际只支持“祖语未直接见于文献、其具体形式依比较重建”，不能由此推出共同祖语不曾真实存在。应将véritable改为directement attestée，或明确区分历史祖语与重建模型。
155,140,126,此句的a découvert把前一句仍属有争议的假说改说成了确证发现；在本段自己的证据层级内，应作a proposé。对“半数”及“涵盖全部人类语言”的数量断言，本轮未取得足够依据，不作确定性背书。
156,140,126,定义不应只限于langues vivantes（活语言），还须考虑有文献记录的灭绝语言；若与某种灭绝语言的亲缘关系已经确立，也不能仅因该亲属灭绝就称其在谱系分类上为孤立语。见Glottolog对独立语系与孤立语的区分\ecite{24}。
157,141,127,至少“日语是孤立语”不准确：日语与琉球诸语言构成日琉语系（Japonic），不能因为尚未确证其与其他语系的关系就把其中的日语单独算作孤立语。见Glottolog的Japonic分类\ecite{25}。
158,141,127,罗马字题名与汉字题名不对应：“新明解”应读Shinmeikai，而Shinsen通常对应“新選”。应作Shinmeikai kokugo jiten。底本未标所据版次与词汇统计口径，“la plupart”的数量判断尚待核，不据题名订正推定其正确。
