editorial_note,source_pdf_page,printed_page,category,note_latex,references
275,218,204,辨析／订正,章首提纲保留原字。LES FONCTION 应为 LES FONCTIONS；systématique fonctionnelle 应为 systémique fonctionnelle，与本章正文第 212 页的标题一致。章名按第 204 页原题转写。,
276,220,206,待核／保留,原文 phonologie.Dans 缺少句间空格，应为 phonologie. Dans。“structure 一词首次出现”的范围没有限定，本轮未取得足以支持这一优先权断言的历史词例或原刊证据，故列为待核；不能把本句作为该词在所有学科中首次使用的依据。,
277,220,206,辨析／订正,"此句句法衔接有误：可改为 La notion de fonction dans le fonctionnalisme pragois est polysémique，或 Quant à la notion de fonction dans le fonctionnalisme pragois, elle est polysémique。正文保留原句。",
278,220,206,辨析／订正,"原文在逗号后大写 Né。可断为 celui de Roman Jakobson. Né à Moscou en 1896, cofondateur…；这里不静默改变底本标点。",
279,221,207,辨析／订正,辨析：本句把制度化交际一概等同于单向交际，范围过宽。制度化访谈、审讯、课堂问答等在概念上都容许双方轮流发言；“制度化”与“是否双向”不是同一个分类维度。可改为“某些制度化传播情境主要是单向的”，而不能据本句排除制度化对话。,
280,221,207,辨析／订正,原文 passe des supports 缺少介词，应为 passe par des supports。ce cas là 的规范连写为 ce cas-là。此处仅指出文字问题，不改动原段。,
281,223,209,待核／保留,本段“四种功能”的归属与上段矛盾：上段已说明 Bühler 原为三分法，第四项由 Popper 增补。因而此处应限定为“经 Popper 扩充的分类”，不能把四项均归于 Bühler 原始三分法。有关 1953 年和下列价值配对的具体原刊页码，本轮仍待核。,
282,224,210,辨析／订正,引文此处两个 a 均应为介词 à：eut à reconnaître、à partir。另，正文两处俄语拉丁转写形式不同，均依底本保留，不以统一转写静默替换。,
283,224,210,辨析／订正,原文 dans avant d’être repris 中 dans 后无成分，句子残缺。若仅作语法修复可删去 dans；若原本拟列著作名称或日期，则须另据底本补证。本版不臆补缺文。,
284,225,211,辨析／订正,原文 n’en sont quelques illustrations 缺少 que，应为 n’en sont que quelques illustrations。,
285,225,211,辨析／订正,句末 fonction. etc. 的 etc. 与前面的 etc. 重复，且单独成残句；应删去后一个 etc.。,
286,226,212,辨析／订正,"原文 par, maintenir 中 par, 为赘文，拟删为 … à la fois : maintenir par exemple…；不据此改动正文。",
287,226,212,待核／保留,a publié 应为 publié（过去分词修饰 ouvrage），或改写为 qui a été publié。出版社将 1997 年第一卷明确标为第二次修订版，不能把该身后版本的年份直接等同于理论首次发展的年份。Dik 与 Halliday 的具体理论影响关系，本轮仍列待核。\ecite{48},E48
