editorial_note_number,source_pdf_page,source_printed_page,note_latex
38,40,026,原文 « la fonction je peut se mettre en place que » 缺否定限制结构中的 ne，应为 « la fonction je ne peut se mettre en place que »。
39,41,027,本段三处 « tâche » 均指身体上的色斑，应写作 « tache »，与前页的 « une tache de couleur » 一致。tâche 意为任务、工作。
40,41,027,原文 « celle qui avait son assistante » 不通，应为 « celle qui avait été son assistante »（曾担任其助手的人）。
41,41,027,本句两次写 1744 有误。本次核对的 Leyde、Élie Luzac fils 版书名页标有 MDCCXLVIII，即 1748；引用该版应标 1748，而非 1744。初刊流通时间与书名页印年应区别处理。\ecite{11}
42,43,029,此处把 Kanzi 的语言研究笼统归入“手语”不准确。有关研究涉及英语口语理解和 lexigram 图形符号系统；研究机构也明确说明它用图形符号键盘表达请求。词汇量还须区别听懂口语、识认符号与主动使用，不宜把本句的“千词”径直理解为掌握千个手语词。\ecite{8}
43,43,029,本段“永远不会超过三至四岁儿童”的表述强于其所给证据。具体任务的成绩不能直接确定所有语言能力的永久年龄上限；1993 年对 Kanzi 和一名儿童的研究报告了对新句子及某些简单句法手段的理解。这也不等于两者具有完全相同的语言能力。\ecite{8}
44,45,031,这里混淆了意义关联与词源。discourir 的词源属拉丁语 discurrere 一系，并非希腊语 logos；不能由 logos 的多义性推出法语 discourir 的词源关系。\ecite{12}
45,46,032,原文 « a monté »、« sont fréquemment utilisé » 应分别为 « a montré »、« sont fréquemment utilisés »。
46,46,032,原文 « son dépendance » 中 dépendance 为阴性，应为 « sa dépendance »。
47,46,032,“海面下十米起视觉信号便无法使用”有误。海水透光随水质等条件变化；NOAA 的说明将通常有显著日光的表层范围概括为约二百米，适当条件下更深处仍能检出微弱日光。不能把十米当作统一的无光界限。夜间是否能使用视觉信号也取决于环境光和视觉适应。\ecite{9}
48,47,033,原文 « ne sonts pas » 应为 « ne sont pas »。
49,47,033,卒年误为 1990，应为 1980；Gregory Bateson 生卒年为 1904—1980。\ecite{10}
50,47,033,原文 « La grand orateur » 应为 « Le grand orateur »。
51,48,034,本段把特定实验结果推广为一切交际的信息比例，错误。Mehrabian 本人的说明明确限定：这些比例来自情感和态度（喜欢／不喜欢）的传达实验，尤其涉及彼此不一致的线索；不能据此断言日常交际的 93\% 无需语言。公式的 55\% 指面部线索，亦不能无条件推广到全部身体动作。应更正为：在所研究的态度判断任务中，词语、声音和面部线索的相对权重约为 7、38、55；这些权重不是普遍的交际定律。\ecite{7}
52,48,034,原文 « doivent en être en accord » 多出 en，应为 « doivent être en accord »。
53,48,034,原文 « Nous l’avons un peu plus haut » 缺过去分词，应为 « Nous l’avons vu un peu plus haut »。
54,48,034,本段内部计数不一致：前列七项“初级情绪”，后列十一项“次级情绪”，合计十八项，而非十六项。不能只把总数改成十八并当作 Ekman 的正式分类；原段把不同阶段、不同分类口径混合，具体“十六项”所据出处尚待核。
55,49,035,原文 « chacune ... interagissent » 主谓不一致，可改为 « ces deux substances interagissent »，与后文所述相互作用相符。
56,50,036,原文 « leurs pensée » 应为 « leurs pensées »，亦与上段引文一致。
57,52,038,原文 « Les fleurs ne poussent pas les nuages » 缺介词，应为 « Les fleurs ne poussent pas dans les nuages »。此注只订正句法，不据此独立确证引语的原始出处。
58,52,038,此句为原引文的历史性主张，不在引文内改写。若作为一般定义，“没有声音就没有语言”排除了手语；本章第 031 页已把手语与口语相提并论。应区分语言系统与发声模态，不能将声音视为语言的必要条件。
59,53,039,下表按底本逐格保留，并非重排者认可的普遍二分。仅依本章第 037–038 页，蜜蜂已能传达不在蜂巢现场的食物位置，因此把动物交际一概限定为“此时此地”与本章自己的实例冲突。应区分有限的空间移位能力与人类语言可谈论过去、假设等更广泛的移位能力；不能把“动物没有人类语言的全部特征”改写成“所有动物完全没有其中任一特征”。
60,55,041,底本左列第 2、3 行均印为 « Bêler »，此处保留重复。它可能是重复排印，也可能要求对应不同动物；缺少答案或编者说明，不擅自换入另一个动词。
61,55,041,此处 « Gordon J. » 与本章正文第 026 页的 « Gordon G. Gallup » 不一致；应为 Gordon G. Gallup。
62,56,042,本章中 inné 与 acquis 对举，表示“先天的／与生俱来的”，而非仅指“内在的”。宜将此词条译作“inné 先天的：与生俱来的，而非通过后天学习获得的”。这是词义订正，不改变正文有关先天与习得的原有论述。
