note_index,note_text
1,Accord : les processus ont été « présentés ». Le fond imprime « présenté ».
2,Le contexte désigne la discipline : on attend « la linguistique cognitiviste ». Le fond imprime « linguiste ».
3,"Le fond imprime « mod-modèles » ; il s’agit manifestement d’un redoublement typographique, pour « modèles »."
4,"Avec l’auxiliaire avoir et sans complément d’objet direct antéposé, le participe reste invariable : « avaient tous deux assisté »."
5,La construction est lacunaire dans le fond ; on attend vraisemblablement « on peut étudier celle-ci sans se soucier… ».
6,La phrase du fond est dépourvue de sujet exprimé ; le contexte renvoie à Hubert Dreyfus.
7,La construction du fond comporte un double verbe : on attend « qui est lui-même plongé ».
8,La préposition du fond est fautive : l’expression usuelle est « qui nous passent par la tête ».
9,Construction lacunaire : « il s’agit d’une remise en cause profonde ».
10,La date « 1868 » est incompatible avec la chronologie de Ronald Langacker (né en 1942) ; le titre est généralement associé à 1968. Le fond est conservé.
11,校勘定位提示：底本本页含“La Grammaire Cognitive de Langacker s’opposer”。Forme verbale : « s’oppose ». Le fond imprime l’infinitif « s’opposer ».
12,Construction : on attend « dans ce domaine ».
13,Accord : « les activités ... sont liées ».
14,Le fond présente une séquence fautive ; on attend « dans une interview donnée… ».
15,"La phrase est syntaxiquement lacunaire dans le fond ; une relative ou une autre articulation (« la philosophie de Spinoza, qui faisait… ») semble manquer."
16,Accord : « des plans d’action ».
17,La coordination est syntaxiquement défectueuse dans le fond ; la leçon exacte visée n’est pas rétablie sans preuve supplémentaire.
18,"Dans cette entrée bibliographique, le fond inverse le nom et le prénom : il s’agit de George Lakoff, normalement classé sous LAKOFF."
