note_global,note_chapter,source_pdf_page,printed_page,status,text
388,1,286,272,订正／辨析,原文 toutes les énoncés 的性配合有误，应为 tous les énoncés。
389,2,286,272,待核／拟校,原文 entre pour 连用，句法不完整；按本句意思可校为 des mots et groupes de mots entre eux pour former des phrases，或删去 entre。正文保留原字，不将拟补 eux 当作已见原文。
390,3,287,273,订正／辨析,原文 échanges quotidien 应为 échanges quotidiens，形容词须与复数名词配合。
391,4,287,273,订正／辨析,原文 du champ d’étude la pragmatique 缺少 de，应为 du champ d’étude de la pragmatique。
392,5,287,273,订正／辨析,“复句必有多个变位动词”不宜作为无例外的判据。本章下一页即把 après m’avoir ouvert la porte 当作嵌入部分，其中 avoir 为不定式。应以所采用的分句分析标准判断，不能仅以变位动词的个数定义简单句和复句。此注依据本章例证作内部辨析。
393,6,287,273,待核／拟校,待核：这里未注明43、20、847等词数所用的版本、语料与分词标准；« le record absolu » 的比较范围也未界定。本版保留原数，不据这些数值断言其为所有法语文学的绝对纪录。
394,7,289,275,订正／辨析,原文 puis fait 的祈使式词形有误，应为 puis fais。这里的作者归属未给作品与页码，尚待原始出处核验；本注仅确证词形错误，不将流传的署名当作已核实引文。
395,8,289,275,订正／辨析,原文 est aussi appelée aussi 重复 aussi；通常写 est aussi appelée parataxe asyndétique。
396,9,290,276,订正／辨析,原文 comme comme 重复，删去一处 comme 即可。
397,10,290,276,订正／辨析,原文 un phrase 应为 une phrase。
398,11,291,277,订正／辨析,原文 joue un rôle est central 混入 est，应为 joue un rôle central。下句 c’est le verbe s’accorde 缺少关系词 qui，应为 c’est le verbe qui s’accorde。
399,12,291,277,订正／辨析,原文 autour l’antécédent 缺少 de，且把 heureux 称为关系从句的“先行词”不准确。此例 heureux 是评述性的形容词；qui comme Ulysse a fait un beau voyage 可按无显式先行词的名词性关系从句分析，不是修饰先行词 heureux 的关系从句。参见\ecite{53}第60、80页有关名词性关系从句与非动词句的区分。
400,13,291,277,订正／辨析,这里三项都有明示的主句系词 est，结构分别为主语名词组＋est＋表语，不应仅因主语含先行词 femme 就判为“非动词句”。按本段自己的定义，这组例句不能证明该结论。au delà la morale 另应写 au-delà de la morale。
401,14,291,277,订正／辨析,"“无动词”不等于“无句法”。上列 À la recherche du temps perdu、Victoire de la France 等例中仍有介词支配、名词补足语等结构；后文 Habitude, servitude 也被作者分析为主语与谓语关系。应区分“没有明示动词／系词”和“没有句法组织”。"
402,15,292,278,订正／辨析,原文 Le couple est sous-entendue 应为 La copule est sous-entendue，意为系词被省略。原词 couple 与这里的句法概念不合，且不能与阴性的 sous-entendue 配合。
403,16,292,278,订正／辨析,把 grammaticalité 概念的起点定为1960年代初并不准确：本章第281页原注6已将讨论语法性与意义的经典例句归于 Chomsky 的 Syntactic Structures（1957）。至少在1957年这一问题已明确进入生成语法的论述，不宜写成始于1960年代。
404,17,295,281,订正／辨析,这里的 donc acceptables 与作者刚在第280页作出的区分不一致：能够解释、甚至同时合乎语法，并不由此保证在特定处理条件与使用情境中可接受。应删去这一必然推论，或改为“在适当条件下可接受”。
405,18,295,281,订正／辨析,原文 la première de ce chapitre 疑漏 partie，按上下文应为 la première partie de ce chapitre。
406,19,296,282,订正／辨析,原文 ne correspond en rien l’axe 缺少 à，应为 ne correspond en rien à l’axe。此前 ce qui se faisait l’époque 也缺 à，应为 ce qui se faisait à l’époque。
