number,source_pdf_page,printed_page,note_tex,preceding_text
480,351,337,章首 implicature 用了单数，但与 les、conversationnelles 不一致，应为 implicatures conversationnelles；正文对应标题亦见。,"{enumerate}[label=\textcircled{\scriptsize\arabic*}]
\item Oswald Ducrot : les lois du discours
\item Paul Grice : les maximes et implicature conversationnelles"
481,353,339,此处将所有语言一概称为“被说出”的语言，需限定：自然手语并不使用口语的声音通道。若 parlées 仅宽泛指语言被使用，须与本段随后讨论的 parole 及书面语对立区别。参见本书第七章及前文关于手语的讨论。,"9}
\begin{keybox}[Introduction]
\renewcommand{\thempfootnote}{校\arabic{editorialnote}}
S’il est un point commun à toutes les langues, c’est bien d’être parlées."
482,353,339,原文 dans la deuxième partie dans ce chapitre 的后一 dans 应为 de；按本章实际编号，言语行为与会话语用学位于第三节（III），并非第二节。原文 actes de langages 通常亦写作 actes de langage。,"ctes de langages, performativité, linguistique conversationnelle, linguistique de la politesse, etc.) seront présentés dans la deuxième partie dans ce chapitre."
483,353,339,1907 应为 1902；下一页同书例句亦给出 1902。此项依据本书内部对照。\ecite{56},"e。}
\end{keybox}

\section{LA LINGUISTIQUE DE L’ÉNONCIATION}
Élève d’\textbf{Antoine Meillet} à l’École Pratique des Hautes Études, Émile Benveniste (1907-1976)"
484,353,339,任教终年待核：应区分实际停止授课与正式教席任期的终点。本轮未取得可核验的正式任职记录，故不据二手年表把 1969 直接改为另一年份。,"此项依据本书内部对照。\ecite{56}} a enseigné lui-même dans cet établissement, ainsi qu’au Collège de France, où il a occupé la chaire de grammaire comparée de 1937 à 1969."
485,354,340,例中含两个话语层次：“La semaine dernière”相对于转述者说话时间定位；引号内 demain、je、ici、vous 则相对于教师说话时的语境定位。不能把全部指示语统一回指到转述时刻；本页列表只分析了直接引语层。,"ème personne du pluriel renvoyant aux destinataires, soit « les étudiants ».
\item L’adverbe « ici », embrayeur spatial, signifiant « dans la salle de classe »."
486,355,341,版本待核：此处将题名“诗学”与 1929 年连用，需区分早期版本与修订本，不宜仅凭后出译本题名确定初版信息。法文书名的单复数也待相应题名页核对。本轮未取得两个俄文版本的题名页，故不在正文中改名改年。\ecite{57},"par le philosophe et théoricien de la littérature \textbf{Mikhaïl Bakhtine} (1895-1975) dans son ouvrage \textit{Problème de la poétique de Dostoïevski} (1929),"
487,356,342,引语中的 il n’a que 应为 il n’y a que；原文如此。,"m des autres, tout cela, pour Ducrot, relève de la polyphonie :

\textbf{Ex :} Le professeur dit : « Pour Saussure, dans la langue il n’a que des différences. »"
488,356,342,d’adresse 应为 s’adresse，系代词误植。,"u narrateur).

\minititle{\textcircled{\scriptsize 2} Le destinataire}
Vous l’avez sûrement deviné : le destinataire est l’actant à qui l’énonciateur d’adresse."
489,356,342,“与发话者不同”这一限制过强：多人合署的声明等也可有共同发话主体。此处可作为单一发话者的分析假设，不宜读成对一切交际的排他规定。,"cutaire. À l’écrit, on parle de lecteur. Contrairement à l’énonciateur, le destinataire peut être multiple (quand on s’adresse à plusieurs personnes à la fois)."
490,356,342,parle 后有一个无对应左括号的右括号；照录并注明排印疑误。,"onstances de lieu et de temps. Un circonstant de lieu est déterminé par rapport au lieu de l’énonciation : « ici », c’est-à-dire, l’endroit où le « je » parle)."
491,357,343,prononcée 的前置宾语 l’ 指阳性的 énoncé，应为 prononcé。,"e vais me coucher.

Si l’on sait que c’est Paul qui a prononcé cet énoncé, on peut en déduire que « je » représente Paul. Mais si l’on ignore qui l’a prononcée,"
492,357,343,lieu 后缺左括号，应为 circonstances de lieu (embrayeurs spatiaux)。,"re, sont appelés embrayeurs subjectifs (ou personnels). Les seconds se réfèrent aux circonstances de l’énonciation : circonstances de lieu embrayeurs spatiaux),"
493,358,344,本例明列于第二人称项下，括注却用第一人称 Notre。若母亲为双方共有，Notre 可以成立；若专举第二人称隐含领属，应为 Ta。原文情境不足，保留并注明例证与分类的不完全对应。,"Un voisin voudrait te voir. (sous entendu : Un \textit{de tes} voisins voudrait te voir.)

\hspace*{1.5em}Maman a téléphoné. (\textit{Notre} maman a téléphoné.)"
494,358,344,此例实际对比直陈式复合过去时 a assassiné 与条件式过去时 aurait assassiné；前文“直陈式现在时”与例句不符。,"u lieu du présent de l’indicatif, pour exprimer le doute :
\end{itemize}
\textbf{Ex :} Le mari a assassiné sa femme / le mari \textit{aurait} assassiné sa femme"
